"Mass","formula","element_comp","class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
200.056421,"C8H11O5N1","CHON","unsaturated/lignin",1.38,0.62,0.1111,0.25,8,11,5,1,0,0
200.0576993,"C9H7O1N5","CHON","condensed_arom",0.78,0.11,1,1.1111,9,7,1,5,0,0
200.0928145,"C9H15O4N1","CHON","aliphatic",1.67,0.44,0,-0.4444,9,15,4,1,0,0
200.1292203,"C10H19O3N1","CHON","aliphatic",1.9,0.3,-0.0667,-1,10,19,3,1,0,0
200.9862974,"C7H6O5S1","CHOS","unsaturated/lignin",0.86,0.71,0.4286,0.8571,7,6,5,0,1,0
201.019351,"C11H6O4","CHO","condensed_arom",0.55,0.36,0.7778,0.1818,11,6,4,0,0,0
201.0345915,"C15H6O1","CHO","condensed_arom",0.4,0.07,0.8621,-0.2667,15,6,1,0,0,0
201.0404396,"C8H10O6","CHO","unsaturated/lignin",1.25,0.75,0.2,0.25,8,10,6,0,0,0
201.0556671,"C12H10O3","CHO","aromatic",0.83,0.25,0.619,-0.3333,12,10,3,0,0,0
201.0558018,"C12H10O3","CHO","aromatic",0.83,0.25,0.619,-0.3333,12,10,3,0,0,0
201.0768103,"C9H14O5","CHO","aliphatic",1.56,0.56,0.0769,-0.4444,9,14,5,0,0,0
201.0880447,"C8H14O4N2","CHON","aliphatic",1.75,0.5,-0.25,0,8,14,4,2,0,0
201.1131938,"C10H18O4","CHO","aliphatic",1.8,0.4,0,-1,10,18,4,0,0,0
201.1244418,"C9H18O3N2","CHON","aliphatic",2,0.33,-0.2727,-0.6667,9,18,3,2,0,0
201.1413003,"C11H23O1P1","CHOP","aliphatic",2.09,0.09,-0.0526,-1.9091,11,23,1,0,0,1
201.1495837,"C11H22O3","CHO","aliphatic",2,0.27,-0.0526,-1.4545,11,22,3,0,0,0
202.017538,"C9H6O1N3P1","CHONP","condensed_arom",0.67,0.11,1,0.5556,9,6,1,3,0,1
202.0357432,"C7H9O6N1","CHON","unsaturated/lignin",1.29,0.86,0,0.8571,7,9,6,1,0,0
202.0509012,"C11H9O3N1","CHON","aromatic",0.82,0.27,0.6471,0,11,9,3,1,0,0
202.0720741,"C8H13O5N1","CHON","aliphatic",1.62,0.62,-0.1111,0,8,13,5,1,0,0
202.1084549,"C9H17O4N1","CHON","aliphatic",1.89,0.44,-0.1667,-0.6667,9,17,4,1,0,0
202.1085691,"C9H17O4N1","CHON","aliphatic",1.89,0.44,-0.1667,-0.6667,9,17,4,1,0,0
203.0349488,"C11H8O4","CHO","condensed_arom",0.73,0.36,0.6667,0,11,8,4,0,0,0
203.0560915,"C8H12O6","CHO","aliphatic",1.5,0.75,0,0,8,12,6,0,0,0
203.0713344,"C12H12O3","CHO","aromatic",1,0.25,0.5238,-0.5,12,12,3,0,0,0
203.0714365,"C12H12O3","CHO","aromatic",1,0.25,0.5238,-0.5,12,12,3,0,0,0
203.092459,"C9H16O5","CHO","aliphatic",1.78,0.56,-0.0769,-0.6667,9,16,5,0,0,0
203.1288461,"C10H20O4","CHO","aliphatic",2,0.4,-0.125,-1.2,10,20,4,0,0,0
